127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/default/index, HTTP/1.1, 303, 0.298000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/default/user/login, HTTP/1.1, 200, 0.074000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:54, GET, /start/static/js/ractive.min.js, HTTP/1.1, 200, 0.166000
127.0.0.1, 2015-11-18 19:53:55, GET, /start/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:55, GET, /start/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:55, GET, /start/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-11-18 19:54:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.067000
127.0.0.1, 2015-11-18 19:54:25, GET, /start/default/index, HTTP/1.1, 303, 0.029000
127.0.0.1, 2015-11-18 19:54:26, GET, /start/default/user/login, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-11-18 19:54:26, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
